,id,budget,popularity,runtime,revenue,popularity2,rating,totalVotes,logRevenue,release_month,release_day,release_year,release_dayofweek,has_homepage,has_collection,_status,_total_genres,_total_prod_comp,_total_prod_countries,_total_spoken_languages,original_language_cn,original_language_de,original_language_en,original_language_es,original_language_fr,original_language_hi,original_language_it,original_language_ja,original_language_ko,original_language_others,original_language_ru,original_language_ta,original_language_zh,_production_company_Columbia Pictures,_production_company_Columbia Pictures Corporation,_production_company_Metro-Goldwyn-Mayer (MGM),_production_company_Miramax Films,_production_company_New Line Cinema,_production_company_NotKnown,_production_company_Paramount Pictures,_production_company_TriStar Pictures,_production_company_Twentieth Century Fox Film Corporation,_production_company_United Artists,_production_company_Universal Pictures,_production_company_Walt Disney Pictures,_production_company_Warner Bros.,_production_company_others,_genres_Action,_genres_Adventure,_genres_Animation,_genres_Comedy,_genres_Crime,_genres_Documentary,_genres_Drama,_genres_Fantasy,_genres_Horror,_genres_NotKnown,_genres_Romance,_genres_Thriller,_genres_others,_production_country_Australia,_production_country_Canada,_production_country_China,_production_country_France,_production_country_Germany,_production_country_Hong Kong,_production_country_India,_production_country_Italy,_production_country_Japan,_production_country_NotKnown,_production_country_Russia,_production_country_Spain,_production_country_United Kingdom,_production_country_United States of America,_production_country_others,_spoken_languages_Deutsch,_spoken_languages_English,_spoken_languages_Español,_spoken_languages_Français,_spoken_languages_NotKnown,_spoken_languages_Pусский,_spoken_languages_others,_spoken_languages_हिन्दी,_spoken_languages_日本語,_keywords_based on novel,_keywords_female nudity,_keywords_independent film,_keywords_london england,_keywords_new york,_keywords_notavailable,_keywords_others,_keywords_paris,_keywords_prison,_keywords_sex,_keywords_suicide
10,11,1000000.0,14.774066,119.0,117235147,22.44,7.7,3388.0,26.804829912485115,11,21,1976,6,0,1,1,1.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,12,14121037.332781456,10.54375,98.0,22642033,6.332000000000001,5.4,102.0,24.432500165991712,7,10,1987,4,0,1,1,1.0,4.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,13,15000000.0,20.726578,122.0,356296601,16.217,8.0,6016.0,28.408503479606782,9,15,1999,2,1,0,1,1.0,2.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,14,53000000.0,13.314232999999998,118.0,95226116,7.968,5.4,429.0,26.504853954726393,3,4,2005,4,0,1,1,2.0,4.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,15,102000000.0,20.666063,145.0,358372926,16.768,7.3,4272.0,28.416886409326686,6,20,2002,3,0,0,1,4.0,7.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,16,500000.0,1.018477,97.0,198,1.797,5.9,22.0,7.6293566200796095,10,6,2010,2,1,0,1,3.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
16,17,26000000.0,6.336926999999999,85.0,57891803,7.797999999999999,6.2,807.0,25.78685575321316,8,4,2005,3,0,0,1,2.0,3.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,18,13980487.62165605,4.1835580000000006,111.0,1234254,6.02,6.0,108.0,20.23520788993149,12,25,2013,2,0,0,1,2.0,4.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,19,8000000.0,6.496258999999999,96.0,1749457,6.582000000000001,6.3,348.0,20.738475774256813,2,2,2011,2,0,0,1,2.0,4.0,3.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,20,32000000.0,11.359658999999999,87.0,85167639,21.022,6.2,1651.0,26.343802020450273,8,2,2005,1,0,1,1,3.0,7.0,1.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,21,80000000.0,12.000579,130.0,136159423,10.819,5.2,584.0,27.02072158756912,4,3,1998,4,0,0,1,3.0,4.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,22,4000000.0,7.99229,95.0,36690067,9.533,5.7,480.0,25.128886203316377,8,13,1982,4,0,1,1,2.0,2.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,23,21792346.23275862,7.820786999999999,116.0,100345,6.947,5.8,577.0,16.61460920618549,7,28,2012,5,1,1,1,2.0,3.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,24,21980211.286489297,1.323333,92.0,17011,2.04,5.0,15.0,14.05418033258104,9,2,2011,4,1,0,1,3.0,3.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,25,12462225.664705882,7.434577,87.0,4947717,5.031000000000001,5.7,298.0,22.238331552586548,9,9,2006,5,1,0,1,2.0,2.0,1.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,26,14144416.533663545,1.252367,95.0,8403433,3.4339999999999997,5.4,50.0,23.002547392486484,10,23,1992,4,0,0,1,4.0,4.0,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,27,10000000.0,4.305734999999999,110.0,13835130,6.732,7.1,110.0,23.721832864319445,9,8,1997,0,0,0,1,4.0,4.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,28,11000000.0,10.841891,93.0,7847000,9.716000000000001,6.7,1095.0,22.90370976952512,9,7,2013,5,0,0,1,3.0,3.0,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,29,6000000.0,6.759181,84.0,5849647,8.685,7.0,192.0,22.479918136462054,8,8,1986,4,0,0,1,1.0,4.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,30,45000000.0,7.81862,89.0,94935764,8.175,6.1,466.0,26.50044834287574,4,7,2002,6,0,0,1,4.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,31,13000000.0,16.086919,112.0,426480871,18.026,8.2,9202.0,28.667905792712006,11,2,2011,2,0,0,1,2.0,8.0,1.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,32,27017488.95054945,5.69586,117.0,36000000,7.507999999999999,7.1,394.0,25.101493570766486,5,2,2005,0,1,0,1,3.0,15.0,5.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,33,90000000.0,13.412445000000002,106.0,146936910,14.552,5.8,2057.0,27.130621600093942,10,21,2015,2,1,0,1,3.0,7.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,34,12535532.874498269,8.254856,125.0,7171,6.584,5.2,142.0,12.807958602256477,10,2,2014,3,0,1,1,1.0,3.0,5.0,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
34,35,140000000.0,9.718111,91.0,258022233,9.083,6.2,1343.0,27.94292014279736,8,8,2007,2,0,1,1,4.0,1.0,1.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
35,36,30000000.0,8.234382,94.0,40346186,12.616,6.3,1158.0,25.26592896351495,4,16,2012,0,1,0,1,3.0,5.0,1.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,37,14167834.441831863,2.100499,105.0,151559,3.898,5.3,57.0,17.209520000395013,1,28,2000,4,0,0,1,2.0,3.0,3.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,38,50000000.0,13.676444,127.0,189859560,9.901,6.4,801.0,27.50035740392025,3,10,1995,4,0,0,1,4.0,4.0,1.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,39,22169695.86654524,0.32926,90.0,92100,8.029302914642594,6.36630811936155,933.938584316447,16.49091353586606,9,13,2013,4,1,0,1,1.0,1.0,1.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,40,3800000.0,3.055936,123.0,14873,5.586,6.5,56.0,13.860408059124655,4,7,1965,1,0,0,1,2.0,2.0,1.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,41,35987915.27895885,2.941626,118.0,163000,5.857,7.5,77.0,17.314512438893164,4,26,2006,2,1,1,1,2.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,42,3000000.0,9.718713000000001,126.0,16217773,10.433,7.8,593.0,23.95107238867178,6,22,1967,2,0,0,1,2.0,2.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,43,25000000.0,2.9719990000000003,108.0,24362772,3.7510000000000003,4.6,55.0,24.538174956861887,3,3,2000,4,0,0,1,1.0,2.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,44,6000000.0,9.383088,92.0,1020921,6.121,5.9,138.0,19.961439802515606,9,5,2014,4,0,0,1,1.0,3.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,45,15000000.0,5.615303,88.0,47175038,9.717,6.5,490.0,25.49152034414408,2,4,2005,4,1,0,1,2.0,3.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,46,3906840.0,2.382068,95.0,4300000,4.015,6.2,41.0,22.03590522913891,10,9,2009,4,0,0,1,5.0,2.0,1.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
46,47,80000000.0,16.646029000000002,91.0,660940780,13.357000000000001,6.6,5358.0,29.299945771788387,3,23,2006,3,1,1,1,4.0,2.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,48,44000000.0,20.328822,167.0,155760117,15.815999999999999,7.7,7425.0,27.21475063195783,12,25,2015,4,1,0,1,4.0,3.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,49,13998297.160027588,8.984386,94.0,653951,5.294,5.8,189.0,19.318823014280376,3,24,2017,4,0,0,1,2.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,50,38000000.0,8.105708,118.0,120000000,5.5,6.5,630.0,26.838459164932694,11,17,1994,3,0,1,1,4.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,51,560000.0,1.572904,102.0,1500000,2.43,6.8,18.0,20.516531070045332,1,30,2008,2,1,0,1,3.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
51,52,12000000.0,4.473326999999999,160.0,25333333,7.167000000000001,7.4,100.0,24.594533563063774,7,1,1965,2,0,0,1,2.0,1.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,53,57670802.24064171,1.012665,97.0,11000000,4.573,5.7,23.0,23.39100018796147,6,24,1980,1,0,0,1,2.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,54,14016129.385709153,5.410839,98.0,17514553,3.015,5.9,50.0,24.062050832887483,1,15,1988,4,1,0,1,3.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
